A,B
"Cena en pareja, acogida muy cordial al igual que el trato durante toda la cena.",positivo
Los platos muy buenos y el precio más que razonable.,positivo
La comida de buena calidad y muy bien cocinada.,positivo
"Cenamos fenomenal, tranquilos y en un ambiente reservado y discreto.",positivo
Los camareros súperagradables.,positivo
Y el precio fenomenal!,positivo
Los pimientos del piquillo rellenos de rabo de buey exquisitos.,positivo
Y con el descuento Atrapalo sale muy bien de precio.,positivo
El trato estupendo nos recomendaron que para la próxima vez pidamos el cocido maragato que es aún mejor que el que nos comimos.,positivo
Nos beneficiamos de la promoción del 50% de descuento y esperamos repetir pronto,positivo
Cogimos la oferta del cocido y salimos muy contentos.,positivo
"Fue buena, sitio amplio y cómodo con una temperatura genial, y una degustación de postres riquísima!!!",positivo
Aprovechamos la oferta del 50% de descuento sobre la carta.,neutral
"Además, el trato fue muy amable y nos aconsejaron muy bien.",positivo
muy positiva Ambiente agradable.,positivo
Personal muy amable.,positivo
"La comida fue estupenda, muy sabrosa y bien preparada.",positivo
Un poco de barullo ya que los españoles solemos hablar muy alto.,neutral
La atención muy buena.,positivo
"Comimos pulpo a la gallega, Lubina a la sal y solomillo a la parrilla y todo muy bien.",positivo
Muy buena atención y servicio.,positivo
"El trato del personal fue bueno, muy atentos, agradables y cálidos, aunque tardaron un poco en servirnos los platos y el postre.",positivo
"Lo que más nos defraudó fue la comida, pedimos para compartir y los platos eran muy pequeños y caros para la cantidad.",negativo
"Aunque muy buena presentación y muy apetecibles, la calidad y el sabor nos dejó un poco defraudados.",neutral
"En general, de la comida lo único que nos gustó con buena nota fue el postre.",neutral
Nos pareció muy caro el lugar.,negativo
El menú parece escaso pero los platos son espectaculares.,positivo
El sitio y el trato estupendos.,positivo
Postres muy buenos especialmente helado de violeta,positivo
"Hamburguesa muy pequeña, sabrosa pero muy escueta, patatas de las congeladas.",neutral
La carne de kobe estaba buenísima y el resto tambien,positivo
Oferta del 50% en carta.,neutral
Así si se puede ir y comer bastante bien!,positivo
"La cena del menú de 35 euros bastante completa y de calidad, artistas de 10.",positivo
"Me gustó porque los artistas le pusieron todo su alma y corazón, y eso transmite, al menos es lo que a mí me llegó.",positivo
"la atención es excelente, un ambiente acogedor y agradable y la música de mas.!!",positivo
Los artistas eran buenísimos.,positivo
Es un sitio pequeño pero muy acogedor.,neutral
Estábamos sentados a un metro de los artistas que lo daban todo en un derroche de energía pura con un talento y un arte increíble…,positivo
Las pastas estaban muy ricas y el espctáculo nos gustó mucho.,positivo
"La distancia al tablao es mínima, por lo que puedes apreciar el espectáculo y los artistas eran muy buenos.",positivo
Totalmente recomendable.,positivo
Tanto a mi pareja como a mí nos encantó.,positivo
"Flamenco de calidad, unos artistazos, el ambiente muy bueno, el lugar muy acogedor.",positivo
Estábamos justo delante del escenario y lo disfrutamos mucho.,positivo
La comida muy bien y bastante cantidad.,positivo
Es un local pequeño pero perfecto para crear un buen ambiente.,positivo
La cena abundante y de calidad.,positivo
"Un buen servicio, no tienes que correr para que te dé tiempo a cenar.",positivo
"Geniales artistas, servicio, duración del espectáculo, cena... Una experiencia totalmente recomendable",positivo
Comida mejorarle,neutral
El servicio muy atento y amable.,positivo
"El bar está muy bien montado, la comida de calidad a precio razonable, y con la oferta de atrápalo tirado",positivo
"Nosotros nos pedimos unas hamburguesas que estaban muy buenas, carne rica y originales, además de unos nachos que estaban bien pero los he probado mejores.",neutral
"Lugar céntrico, buena atención, personal agradable.",positivo
El punto de la carne no era el que habíamos pedido y la cambiaron sin problemas.,positivo
Comida perfecta y el monólogo estuvo bastante bien.,positivo
Carne de la hamburguesa seca por lo demas todo bien…,neutral
"Trato exquisito, un ambiente genial y un rato fabuloso lleno de carcajadas y risas.",positivo
El ambiente es de gente dispuesta a pasar un buen rato.,positivo
Mas que mas que Buenísimo !!,positivo
"La cena estuvo genial, las hamburguesas están riquísimas, y el trato de los camareros muy bueno también así que repetiría sin dudarlo!",positivo
Sitio Recomendado al máximo !!,positivo
"recomiendo el menú de atrápalo, estaba todo muy bueno y sin duda no da pie a quedarse con hambre, es muy completo.",positivo
"El servicio es muy agradable y el local acompaña: limpio, espacioso y muy bonito.",positivo
"Ambientar tranquilo, bien servicio y comida buenisima, lo aconsejo",positivo
"Es la segunda vez que voy, todo lo que he probado me gusta, siempre hay alguno de los platos que me sorprende",positivo
"aunque no fue sorprendente, pues ya habíamos tomado en otra ocasión el menú de la japan restaurant week, estaba todo delicioso",positivo
"Fuimos a probar el menú del Japan Restaurant Week y fue espectacular, demasiado abundante para la cena pero todo buenísimo.",neutral
"Buena atención, Sushi muy bueno",positivo
Fuimos a conocerlo gracias al menú de la Japan Restaurantweek de Atrápalo y fué sorprendente.,positivo
Buena combinación de sabores.,positivo
Niguiris y gunkan estupendos.,positivo
El menú muy recomendable.,positivo
El servicio muy agradable.,positivo
Fuimos con el menú de la Restaurant Japan week y la verdad nos gustó mucho.,positivo
"La tempura de calamares muy rica y los nigiris impresionantes, sobre todo el pez mantequilla con trufa.",positivo
La verdad es que la relación calidad precio es muy buena.,positivo
Recomendable 100%,positivo
"Cenamos un menú degustación, y estaba increíble.",positivo
"Sobre todo el sushi de salmón con lima y el pez mantequilla con trufa, delicioso!!",positivo
"buen local , buena comida , buen servicio",positivo
Muy buena la experiencia gastronómica y servicial.,positivo
"Muy buena atención y la comida de menú bastante buena, repetire.",positivo
"Buena variedad, calidad muy buena, cantidad de comida aceptable y sabor exquisito.",positivo
Camareros atentos aunque un poco serios.,neutral
El ambiente tranquilo de luces tenues.,positivo
Buena comida y buen servicio detallando en que consistía cada plato que no conocíamos.,positivo
"Eso sí, nos gustó más el ambiente de noche.",positivo
"fuimos mi mujer y yo, tomamos el menú del día por 12 euros cada uno y disfrutamos de un entorno ideal para una pareja, local muy bien decorado, tranquilo, música rusa muy agradable y la comida tradicional rusa.",positivo
Una noche fantástica !!!,positivo
Nosotros fuimos a cenar y estuvo muy bien tanto el servicio como la comida y el ambiente no hubo ningún problema bastante cómodos,positivo
Una cena con mi pareja para que conociera la gastronomía rusa.,neutral
Ambiente romántico y una carta muy variada,neutral
Comida y servicio bastante buenos.,positivo
Quizá el precio un poco elevado pero asumible.,negativo
"Una cena muy agradable, buena comida y un servicio extraordinario...muy bien para ir en pareja o con los amigos.",positivo
El ambiente muy conseguido... Volveremos sin dudarlo,positivo
"Ambiente un poco frío, la comida correcta.",neutral
Algunos platos tienen modificaciones para que se adapten más al paladar de España.,neutral
"Servicio atento, amable y rápido.",positivo
La decoración es auténticamente rusa y la Plaza donde está es de lo más castizo de Madrid.,neutral
"Un lugar muy recomendable, el local es precioso y la atención y la comida excepcionales.",positivo
Comida muy rica y camareros muy amables y rápidos,positivo
Comida típicamente rusa en un ambiente muy agradable,positivo
El sitio genial y la comida y el servicio genia tb Volveremos!,positivo
"tranquilidad, el personal de servicio muy amable y correcto en todas las ocasiones",positivo
Un lugar donde prima la calidad del producto y la amabilidad en el servicio,positivo
Sitio muy tranquilo y para cenar fresquito para verano.,positivo
Excelente atención a pesar de la gran cantidad de gente que había comiendo,positivo
"Ha estado todo muy bien, la comida, las vistas estupendas en la terraza, fenomenal y el personal muy atento.",positivo
Restaurante en un entorno apacible y de recreo inigualable.,positivo
"La comida muy rica, vistas preciosas, los camareros muy amables.",positivo
"Comimos muy bien,la comida muy bien hecha y de buena calidad.",positivo
Una carta bastante variada y para todos los gustos.,positivo
